Orthomyxoviridae_Infections,Aging__Premature Fever Body_Weight Weight_Gain Weight_Loss Cachexia Obesity Edema Paralysis Hearing_Disorders Hearing_Loss Hearing_Loss__Conductive Hearing_Loss__Sensorineural Sleep_Disorders Sleep_Deprivation Oral_Manifestations Anorexia Diarrhea Anoxia Cough Hyperoxia Sneezing
HIV_Infections,Aging__Premature Asthenia Fever Fever_of_Unknown_Origin Hypothermia Body_Weight Birth_Weight Fetal_Macrosomia Weight_Gain Weight_Loss Emaciation Cachexia Overweight Obesity Obesity__Morbid Thinness Cardiac_Output__Low Cyanosis Edema Hydrops_Fetalis Eye_Hemorrhage Fatigue Fetal_Distress Hot_Flashes Hypergammaglobulinemia Mobility_Limitation Cerebrospinal_Fluid_Otorrhea Dyskinesias Ataxia Cerebellar_Ataxia Gait_Ataxia Athetosis Chorea Dystonia Hyperkinesis Hypokinesia Myoclonus Psychomotor_Agitation Akathisia__Drug-Induced Tics Tremor Gait_Disorders__Neurologic Meningism Apraxias Catatonia Communication_Disorders Language_Disorders Dyslexia Alexia__Pure Language_Development_Disorders Speech_Disorders Aphasia Aphasia__Broca Dysarthria Learning_Disorders Confusion Delirium Consciousness_Disorders Unconsciousness Coma Syncope Memory_Disorders Amnesia Mental_Retardation Auditory_Perceptual_Disorders Hallucinations Psychomotor_Disorders Muscle_Cramp Muscle_Rigidity Muscle_Spasticity Muscle_Hypotonia Muscle_Weakness Muscular_Atrophy Myotonia Tetany Pain Back_Pain Low_Back_Pain Facial_Pain Headache Neck_Pain Neuralgia Neuralgia__Postherpetic Sciatica Pain__Intractable Paralysis Facial_Paralysis Gastroparesis Hemiplegia Ophthalmoplegia Ophthalmoplegia__Chronic_Progressive_External Paraplegia Pseudobulbar_Palsy Quadriplegia Respiratory_Paralysis Vocal_Cord_Paralysis Paresis Paraparesis Paraparesis__Spastic Psychophysiologic_Disorders Reflex__Abnormal Seizures Sensation_Disorders Dizziness Hearing_Disorders Hearing_Loss Deafness Hearing_Loss__Bilateral Hearing_Loss__Conductive Hearing_Loss__Sensorineural Hearing_Loss__Noise-Induced Tinnitus Olfaction_Disorders Somatosensory_Disorders Hyperalgesia Hyperesthesia Hypesthesia Paresthesia Taste_Disorders Dysgeusia Vision_Disorders Blindness Blindness__Cortical Color_Vision_Defects Diplopia Hemianopsia Vision__Low Sleep_Disorders Urinary_Bladder__Neurogenic Vertigo Voice_Disorders Hoarseness Oral_Manifestations Oral_Hemorrhage Abdominal_Pain Abdomen__Acute Colic Arthralgia Chest_Pain Angina_Pectoris Acute_Coronary_Syndrome Angina__Unstable Earache Toothache Pain__Postoperative Pelvic_Pain Anorexia Constipation Diarrhea Diarrhea__Infantile Dyspepsia Flatulence Heartburn Hiccup Hyperphagia Bulimia Nausea Vomiting Hematemesis Anoxia Apnea Cough Dyspnea Hemoptysis Hyperoxia Hyperventilation Mouth_Breathing Respiratory_Sounds Snoring Sneezing Ecchymosis Jaundice Jaundice__Obstructive Pruritus Tinea_Pedis Purpura Purpura__Schoenlein-Henoch Purpura__Thrombocytopenic Purpura__Thrombocytopenic__Idiopathic Purpura__Thrombotic_Thrombocytopenic Hypercalciuria Polyuria Proteinuria Albuminuria Hemoglobinuria Urinary_Incontinence Virilism
Acquired_Immunodeficiency_Syndrome,Aging__Premature Asthenia Fever Fever_of_Unknown_Origin Body_Weight Birth_Weight Weight_Gain Weight_Loss Emaciation Cachexia Overweight Obesity Cardiac_Output__Low Edema Eye_Hemorrhage Fatigue Hypergammaglobulinemia Neurologic_Manifestations Ataxia Cerebellar_Ataxia Athetosis Chorea Dystonia Torticollis Myoclonus Psychomotor_Agitation Akathisia__Drug-Induced Tremor Catatonia Communication_Disorders Language_Disorders Language_Development_Disorders Speech_Disorders Aphasia Aphasia__Wernicke Dysarthria Stuttering Confusion Delirium Coma Syncope Memory_Disorders Mental_Retardation Gerstmann_Syndrome Auditory_Perceptual_Disorders Hallucinations Illusions Phantom_Limb Psychomotor_Disorders Muscle_Cramp Muscle_Hypertonia Muscle_Spasticity Muscle_Hypotonia Muscle_Weakness Muscular_Atrophy Myotonia Spasm Tetany Pain Back_Pain Headache Neck_Pain Neuralgia Pain__Intractable Paralysis Facial_Paralysis Hemiplegia Ophthalmoplegia Paraplegia Quadriplegia Vocal_Cord_Paralysis Paresis Paraparesis Paraparesis__Spastic Psychophysiologic_Disorders Reflex__Abnormal Reflex__Babinski Seizures Sensation_Disorders Dizziness Hearing_Disorders Hearing_Loss Deafness Hearing_Loss__Bilateral Hearing_Loss__Conductive Hearing_Loss__Sensorineural Hearing_Loss__Central Hearing_Loss__Sudden Hyperacusis Tinnitus Olfaction_Disorders Hyperalgesia Hyperesthesia Hypesthesia Paresthesia Taste_Disorders Vision_Disorders Blindness Color_Vision_Defects Diplopia Hemianopsia Vision__Low Sleep_Disorders Sleep_Deprivation Urinary_Bladder__Neurogenic Vertigo Voice_Disorders Hoarseness Oral_Hemorrhage Abdominal_Pain Abdomen__Acute Colic Arthralgia Shoulder_Pain Chest_Pain Angina_Pectoris Acute_Coronary_Syndrome Toothache Anorexia Diarrhea Diarrhea__Infantile Dyspepsia Hiccup Nausea Vomiting Hematemesis Anoxia Fetal_Hypoxia Cough Dyspnea Hemoptysis Hyperventilation Respiratory_Sounds Skin_Manifestations Ecchymosis Jaundice Jaundice__Obstructive Pruritus Tinea_Pedis Purpura Purpura__Schoenlein-Henoch Purpura__Thrombocytopenic Purpura__Thrombocytopenic__Idiopathic Purpura__Thrombotic_Thrombocytopenic Proteinuria Albuminuria Urinary_Incontinence Urinary_Incontinence__Stress
Breast_Neoplasms,Aging__Premature Asthenia Fever Fever_of_Unknown_Origin Body_Weight Birth_Weight Fetal_Macrosomia Body_Weight_Changes Weight_Gain Weight_Loss Cachexia Overweight Obesity Obesity__Morbid Thinness Cardiac_Output__Low Chills Edema Edema__Cardiac Fatigue Mental_Fatigue Feminization Flushing Hot_Flashes Hypergammaglobulinemia Intermittent_Claudication Mobility_Limitation Motion_Sickness Neurologic_Manifestations Cerebrospinal_Fluid_Rhinorrhea Ataxia Cerebellar_Ataxia Chorea Dystonia Myoclonus Akathisia__Drug-Induced Tremor Catatonia Language_Disorders Dysarthria Learning_Disorders Confusion Delirium Consciousness_Disorders Unconsciousness Coma Syncope Syncope__Vasovagal Lethargy Memory_Disorders Amnesia Mental_Retardation Perceptual_Disorders Hallucinations Illusions Phantom_Limb Psychomotor_Disorders Muscle_Cramp Muscle_Hypotonia Muscle_Weakness Muscular_Atrophy Myotonia Spasm Trismus Tetany Pain Back_Pain Low_Back_Pain Facial_Pain Headache Neuralgia Sciatica Pain__Intractable Paralysis Facial_Paralysis Hemiplegia Ophthalmoplegia Paraplegia Quadriplegia Respiratory_Paralysis Vocal_Cord_Paralysis Paresis Paraparesis Psychophysiologic_Disorders Pupil_Disorders Horner_Syndrome Seizures Sensation_Disorders Dizziness Hearing_Loss Deafness Hearing_Loss__Sensorineural Tinnitus Olfaction_Disorders Somatosensory_Disorders Hyperalgesia Hypesthesia Paresthesia Taste_Disorders Dysgeusia Vision_Disorders Blindness Color_Vision_Defects Diplopia Hemianopsia Scotoma Vision__Low Sleep_Disorders Sleep_Deprivation Urinary_Bladder__Neurogenic Vertigo Voice_Disorders Hoarseness Abdominal_Pain Abdomen__Acute Colic Arthralgia Shoulder_Pain Chest_Pain Angina_Pectoris Angina__Unstable Angina_Pectoris__Variant Earache Toothache Pain__Postoperative Pelvic_Pain Reticulocytosis Anorexia Constipation Diarrhea Dyspepsia Flatulence Heartburn Nausea Postoperative_Nausea_and_Vomiting Vomiting Hematemesis Hyperemesis_Gravidarum Vomiting__Anticipatory Anoxia Apnea Cough Dyspnea Dyspnea__Paroxysmal Hemoptysis Hyperoxia Hypoventilation Respiratory_Sounds Skin_Manifestations Ecchymosis Jaundice Jaundice__Obstructive Livedo_Reticularis Pruritus Purpura Purpura__Schoenlein-Henoch Purpura__Thrombocytopenic Purpura__Thrombocytopenic__Idiopathic Purpura__Thrombotic_Thrombocytopenic Dysuria Polyuria Proteinuria Albuminuria Hemoglobinuria Urinary_Incontinence Urinary_Incontinence__Stress Virilism Hirsutism
Colonic_Neoplasms,Aging__Premature Asthenia Fever Fever_of_Unknown_Origin Body_Weight Weight_Gain Weight_Loss Cachexia Overweight Obesity Obesity__Morbid Thinness Chills Edema Fatigue Feminization Hypergammaglobulinemia Neurologic_Manifestations Ataxia Cerebellar_Ataxia Myoclonus Aphasia Confusion Consciousness_Disorders Coma Syncope Memory_Disorders Mental_Retardation Muscle_Weakness Muscular_Atrophy Myotonia Spasm Trismus Pain Back_Pain Low_Back_Pain Neuralgia Pain__Intractable Paralysis Hemiplegia Ophthalmoplegia Paraplegia Quadriplegia Paresis Psychophysiologic_Disorders Seizures Sensation_Disorders Dizziness Hearing_Disorders Hearing_Loss Hearing_Loss__High-Frequency Paresthesia Vision_Disorders Blindness Blindness__Cortical Hemianopsia Urinary_Bladder__Neurogenic Vertigo Dysphonia Hoarseness Abdominal_Pain Abdomen__Acute Colic Arthralgia Chest_Pain Angina_Pectoris Angina__Unstable Glossalgia Pain__Postoperative Anorexia Constipation Diarrhea Diarrhea__Infantile Dyspepsia Flatulence Halitosis Nausea Postoperative_Nausea_and_Vomiting Vomiting Hematemesis Vomiting__Anticipatory Anoxia Dyspnea Hypercapnia Hyperoxia Skin_Manifestations Cafe-au-Lait_Spots Jaundice Jaundice__Obstructive Purpura Purpura__Thrombocytopenic__Idiopathic Purpura__Thrombotic_Thrombocytopenic Proteinuria Urinary_Incontinence
Mammary_Neoplasms_Animal,Aging__Premature Body_Weight Birth_Weight Weight_Gain Cachexia Obesity Pain Hyperalgesia Diarrhea Vomiting Anoxia
Skin_Neoplasms,Aging__Premature Asthenia Fever Fever_of_Unknown_Origin Body_Weight Birth_Weight Weight_Gain Weight_Loss Cachexia Overweight Obesity Obesity__Morbid Cardiac_Output__High Cardiac_Output__Low Chills Cyanosis Edema Hydrops_Fetalis Eye_Manifestations Fatigue Flushing Heart_Murmurs Hypergammaglobulinemia Neurologic_Manifestations Cerebrospinal_Fluid_Rhinorrhea Ataxia Cerebellar_Ataxia Athetosis Chorea Hyperkinesis Myoclonus Tremor Gait_Disorders__Neurologic Meningism Language_Development_Disorders Aphasia Aphasia__Wernicke Dysarthria Learning_Disorders Syncope Mental_Retardation Hallucinations Psychomotor_Disorders Muscle_Spasticity Muscle_Hypotonia Muscle_Weakness Muscular_Atrophy Spasm Pain Back_Pain Low_Back_Pain Facial_Pain Headache Neck_Pain Neuralgia Sciatica Pain__Intractable Paralysis Facial_Paralysis Hemiplegia Ophthalmoplegia Paraplegia Quadriplegia Vocal_Cord_Paralysis Paresis Paraparesis Psychophysiologic_Disorders Reflex__Abnormal Seizures Sensation_Disorders Dizziness Hearing_Disorders Hearing_Loss Deafness Hearing_Loss__Bilateral Hearing_Loss__Sensorineural Hearing_Loss__Unilateral Tinnitus Hyperalgesia Hypesthesia Paresthesia Vision_Disorders Amblyopia Blindness Blindness__Cortical Color_Vision_Defects Diplopia Hemianopsia Photophobia Scotoma Vision__Low Sleep_Disorders Sleep_Deprivation Vertigo Voice_Disorders Dysphonia Oral_Manifestations Oral_Hemorrhage Abdominal_Pain Abdomen__Acute Colic Arthralgia Shoulder_Pain Chest_Pain Pain__Postoperative Pseudophakia Anorexia Constipation Diarrhea Diarrhea__Infantile Hyperphagia Nausea Vomiting Anoxia Fetal_Hypoxia Apnea Cough Dyspnea Hemoptysis Respiratory_Sounds Skin_Manifestations Cafe-au-Lait_Spots Ecchymosis Jaundice Jaundice__Obstructive Pallor Pruritus Tinea_Pedis Purpura Purpura__Schoenlein-Henoch Purpura__Thrombocytopenic Purpura__Thrombocytopenic__Idiopathic Waterhouse-Friderichsen_Syndrome Dysuria Oliguria Polyuria Proteinuria Albuminuria Hirsutism
Neoplasms_Experimental,Aging__Premature Asthenia Fever Hypothermia Body_Weight Birth_Weight Fetal_Macrosomia Weight_Gain Weight_Loss Cachexia Obesity Thinness Edema Feminization Hypergammaglobulinemia Neurologic_Manifestations Hyperkinesis Learning_Disorders Perceptual_Disorders Muscular_Atrophy Pain Pain__Intractable Psychophysiologic_Disorders Seizures Sensation_Disorders Hearing_Loss__Noise-Induced Hyperalgesia Blindness Anorexia Diarrhea Nausea Vomiting Anoxia Hypercapnia Jaundice Proteinuria Albuminuria Virilism
Cell_Transformation_Neoplastic,Aging__Premature Fever Body_Weight Weight_Loss Obesity Hypergammaglobulinemia Muscle_Weakness Paresis Psychophysiologic_Disorders Seizures Hearing_Loss Deafness Vision_Disorders Amblyopia Blindness Diplopia Hemianopsia Abdominal_Pain Arthralgia Earache Pelvic_Pain Diarrhea Dyspepsia Anoxia Dyspnea Jaundice__Obstructive Proteinuria
Neoplastic_Syndromes_Hereditary,Aging__Premature Birth_Weight Weight_Loss Obesity Speech_Disorders Dysarthria Mental_Retardation Seizures Dizziness Hearing_Disorders Hemianopsia Vertigo Flank_Pain Dyspepsia Heartburn Cafe-au-Lait_Spots Pruritus Proteinuria Hirsutism
